epoch,step,val_loss
0,186,-173.0249786376953
1,373,-227.36056518554688
2,560,-253.46820068359375
3,747,-259.2369384765625
4,934,-257.147216796875
5,1121,-275.28411865234375
6,1308,-294.16412353515625
7,1495,-299.1337585449219
8,1682,-299.7582702636719
9,1869,-321.6449890136719
10,2056,-315.7182312011719
11,2243,-308.934814453125
12,2430,-295.1479797363281
13,2617,-317.2820129394531
14,2804,-315.0015563964844
15,2991,-323.0670471191406
16,3178,-347.5674133300781
17,3365,-328.00567626953125
18,3552,-328.447509765625
19,3739,-350.2445068359375
20,3926,-331.2339172363281
21,4113,-329.7730407714844
22,4300,-352.0037536621094
23,4487,-337.89373779296875
24,4674,-349.8377380371094
25,4861,-358.4017639160156
26,5048,-352.2230529785156
27,5235,-369.8318786621094
28,5422,-358.3562316894531
29,5609,-357.5331115722656
30,5796,-365.2390441894531
31,5983,-367.8377380371094
32,6170,-362.3436584472656
33,6357,-380.85272216796875
34,6544,-368.9965515136719
35,6731,-383.45172119140625
36,6918,-382.6333312988281
37,7105,-369.3357849121094
38,7292,-382.5956115722656
39,7479,-382.3731994628906
40,7666,-380.2811584472656
41,7853,-380.7427673339844
42,8040,-381.7417907714844
43,8227,-388.8787841796875
44,8414,-383.8733825683594
45,8601,-389.5350341796875
46,8788,-390.7340087890625
47,8975,-380.0205383300781
48,9162,-386.35479736328125
49,9349,-376.1790466308594
50,9536,-373.53289794921875
51,9723,-389.70501708984375
52,9910,-380.4269104003906
53,10097,-375.6396484375
54,10284,-389.5088806152344
55,10471,-402.94281005859375
56,10658,-359.90631103515625
57,10845,-391.13165283203125
58,11032,-381.0301818847656
59,11219,-386.44830322265625
60,11406,-398.6575927734375
61,11593,-403.22064208984375
62,11780,-396.3414001464844
63,11967,-399.473876953125
64,12154,-388.1070251464844
65,12341,-413.8357849121094
66,12528,-408.9549560546875
67,12715,-406.9733581542969
68,12902,-411.1067810058594
69,13089,-408.9875793457031
